epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,133.313,0.78492,1.58535,1.79903,0.67705,0.64711,0.68586,0.57177,0.85013,1.69205,1.7647,0.000159261,0.000159261,0.000159261
6,158.991,0.83843,1.81315,1.83343,0.67911,0.64322,0.68615,0.56812,0.86355,1.66683,1.75622,0.000184543,0.000184543,0.000184543
7,188.57,0.81684,1.99371,1.88054,0.67373,0.64542,0.68578,0.5672,0.86761,1.64429,1.75622,0.000207349,0.000207349,0.000207349
8,214.787,0.80191,1.66573,1.74885,0.66928,0.64602,0.68529,0.56646,0.86447,1.63596,1.75558,0.000227678,0.000227678,0.000227678
9,240.36,0.84323,1.91339,1.89785,0.66305,0.64941,0.68356,0.56366,0.86706,1.64076,1.7499,0.00024553,0.00024553,0.00024553
10,267.275,0.83637,1.83657,1.88127,0.66071,0.64433,0.68171,0.5631,0.86214,1.65632,1.73848,0.000260904,0.000260904,0.000260904
11,292.333,0.88703,2.02001,1.80397,0.65475,0.64173,0.68025,0.56179,0.8505,1.71648,1.72491,0.000273802,0.000273802,0.000273802
12,316.936,0.92835,2.02499,1.85129,0.6534,0.63778,0.67874,0.55845,0.81868,1.84296,1.70351,0.000265629,0.000265629,0.000265629
13,342.198,0.82679,1.85101,1.82375,0.65148,0.63604,0.67767,0.55719,0.79747,1.88483,1.69052,0.000251868,0.000251868,0.000251868
14,370.201,0.79888,1.92246,1.82306,0.65933,0.62695,0.67589,0.55601,0.76273,1.88573,1.67357,0.000238107,0.000238107,0.000238107
15,397.161,0.77699,1.67255,1.74634,0.6538,0.63215,0.67574,0.55565,0.74611,1.85199,1.66324,0.000224346,0.000224346,0.000224346
16,425.346,0.73645,1.93116,1.82038,0.65989,0.62993,0.67589,0.55581,0.73317,1.81387,1.65518,0.000210585,0.000210585,0.000210585
17,451.884,0.77848,1.65855,1.74405,0.66624,0.62504,0.67581,0.55715,0.72945,1.78409,1.6501,0.000196824,0.000196824,0.000196824
18,478.695,0.7736,1.87476,1.77586,0.66707,0.62522,0.67668,0.5573,0.72927,1.7726,1.64873,0.000183063,0.000183063,0.000183063
19,505.322,0.75504,1.91671,1.75009,0.66967,0.62754,0.678,0.55721,0.72923,1.75393,1.64942,0.000169302,0.000169302,0.000169302
20,531.744,0.77802,1.73344,1.66877,0.67184,0.62937,0.67795,0.55652,0.72774,1.73574,1.65123,0.000155541,0.000155541,0.000155541
21,561.384,0.6648,1.57885,1.74624,0.72171,0.63122,0.70301,0.5787,0.72607,1.71297,1.6529,0.00014178,0.00014178,0.00014178
22,588.718,0.63484,1.51346,1.71966,0.72098,0.63163,0.69922,0.57489,0.72576,1.6949,1.65603,0.000128019,0.000128019,0.000128019
23,616.468,0.64382,1.59841,1.68221,0.72106,0.6311,0.70031,0.576,0.72661,1.68675,1.65774,0.000114258,0.000114258,0.000114258
24,644.153,0.63822,1.66746,1.77193,0.72095,0.63005,0.69936,0.57578,0.72484,1.67163,1.6589,0.000100497,0.000100497,0.000100497
25,670.123,0.60332,1.59939,1.68191,0.72724,0.62502,0.69973,0.57532,0.72186,1.66165,1.65861,8.6736e-05,8.6736e-05,8.6736e-05
26,697.461,0.60744,1.50545,1.58168,0.72664,0.62477,0.69855,0.57327,0.71803,1.65482,1.65885,7.2975e-05,7.2975e-05,7.2975e-05
27,724.158,0.58835,1.56749,1.67362,0.7253,0.62427,0.69775,0.57267,0.71555,1.64756,1.65882,5.9214e-05,5.9214e-05,5.9214e-05
28,748.788,0.60935,1.49205,1.65545,0.72588,0.62348,0.69767,0.57259,0.71469,1.6439,1.65891,4.5453e-05,4.5453e-05,4.5453e-05
29,775.604,0.60082,1.52177,1.67878,0.72148,0.62568,0.69722,0.5724,0.71405,1.64025,1.65919,3.1692e-05,3.1692e-05,3.1692e-05
30,800.145,0.64685,1.70198,1.59746,0.72395,0.62444,0.69766,0.57298,0.71457,1.63901,1.65828,1.7931e-05,1.7931e-05,1.7931e-05
1,34.3435,1.21748,2.79264,2.22961,0.6808,0.64682,0.68532,0.57572,0.8399,1.74123,1.79772,0.00010008,0.00010008,0.00010008
2,63.7868,1.09136,2.51209,2.04877,0.68336,0.63569,0.68122,0.56276,0.87149,1.72699,1.76824,0.000197587,0.000197587,0.000197587
1,36.2527,1.21748,2.79264,2.22961,0.6808,0.64682,0.68532,0.57572,0.8399,1.74123,1.79772,0.00010008,0.00010008,0.00010008
2,65.9943,1.09136,2.51209,2.04877,0.68336,0.63569,0.68122,0.56276,0.87149,1.72699,1.76824,0.000197587,0.000197587,0.000197587
3,95.6074,1.04635,2.27482,2.00904,0.6507,0.64252,0.6725,0.55219,0.87075,1.74307,1.74368,0.000288214,0.000288214,0.000288214
4,124.072,1.04961,2.37239,1.98535,0.62816,0.63747,0.66174,0.53937,0.80146,1.96452,1.69659,0.00037196,0.00037196,0.00037196
5,152.54,1.0617,2.45506,1.96291,0.62889,0.62415,0.65813,0.5306,0.75884,1.93658,1.67734,0.000361956,0.000361956,0.000361956
6,179.794,1.00604,2.27534,1.94286,0.7021,0.61498,0.69012,0.55557,0.75482,1.83334,1.68533,0.000348195,0.000348195,0.000348195
7,207.095,0.98884,2.05907,1.87988,0.71158,0.61932,0.68313,0.54665,0.75744,1.72348,1.67948,0.000334434,0.000334434,0.000334434
8,236.261,1.03718,2.06033,1.92224,0.71339,0.60859,0.67542,0.54309,0.7565,1.67654,1.66602,0.000320673,0.000320673,0.000320673
9,266.217,0.98444,2.17118,1.89145,0.67422,0.6301,0.67218,0.5399,0.76369,1.66759,1.6752,0.000306912,0.000306912,0.000306912
10,295.756,0.92297,1.937,1.90385,0.70489,0.62663,0.68019,0.54509,0.75936,1.65502,1.66297,0.000293151,0.000293151,0.000293151
11,325.176,0.92607,1.76931,1.87744,0.71134,0.62451,0.67834,0.54507,0.74596,1.62534,1.66294,0.00027939,0.00027939,0.00027939
12,353.451,0.97877,1.98346,1.87323,0.70708,0.62232,0.67849,0.54334,0.75509,1.60829,1.66054,0.000265629,0.000265629,0.000265629
13,381.617,0.87762,1.84299,1.84955,0.70416,0.6251,0.67997,0.54192,0.74975,1.60033,1.6624,0.000251868,0.000251868,0.000251868
14,410.454,0.96586,1.98784,1.8827,0.70983,0.62397,0.67971,0.53673,0.74888,1.59521,1.66179,0.000238107,0.000238107,0.000238107
15,438.465,0.85411,1.75209,1.82925,0.71862,0.61867,0.67563,0.53721,0.74375,1.57321,1.66043,0.000224346,0.000224346,0.000224346
16,468.258,0.90997,1.88449,1.91476,0.70847,0.62438,0.67549,0.54061,0.73795,1.5586,1.65789,0.000210585,0.000210585,0.000210585
17,495.947,0.91235,1.76443,1.85268,0.70724,0.61872,0.67323,0.54188,0.73284,1.52602,1.66906,0.000196824,0.000196824,0.000196824
18,522.827,0.87189,1.73161,1.8448,0.69743,0.62227,0.67145,0.53937,0.73755,1.50876,1.66681,0.000183063,0.000183063,0.000183063
19,549.988,0.83016,1.66806,1.82729,0.69754,0.62302,0.67091,0.53698,0.73215,1.4795,1.66966,0.000169302,0.000169302,0.000169302
20,579.168,0.85131,1.64644,1.85735,0.75227,0.61864,0.69543,0.55879,0.72919,1.46143,1.66206,0.000155541,0.000155541,0.000155541
21,608.165,0.73431,1.62256,1.80288,0.75108,0.61307,0.69516,0.55796,0.73217,1.44136,1.66636,0.00014178,0.00014178,0.00014178
22,636.103,0.74678,1.60899,1.78514,0.74998,0.60698,0.69888,0.56286,0.72815,1.43956,1.66435,0.000128019,0.000128019,0.000128019
23,664.022,0.76042,1.60746,1.75757,0.74993,0.60991,0.70451,0.5647,0.72547,1.41862,1.6657,0.000114258,0.000114258,0.000114258
24,693.054,0.7266,1.61829,1.81442,0.75303,0.60753,0.7077,0.56616,0.7252,1.39164,1.66395,0.000100497,0.000100497,0.000100497
25,721.116,0.7236,1.56438,1.70655,0.75815,0.60446,0.71014,0.57037,0.72355,1.37099,1.66457,8.6736e-05,8.6736e-05,8.6736e-05
26,750.565,0.69251,1.60825,1.76977,0.75517,0.6058,0.71071,0.57224,0.71786,1.34493,1.6659,7.2975e-05,7.2975e-05,7.2975e-05
27,778.033,0.72652,1.54284,1.8208,0.74924,0.61328,0.71258,0.57228,0.71785,1.34052,1.66277,5.9214e-05,5.9214e-05,5.9214e-05
28,805.366,0.70541,1.50003,1.76534,0.75546,0.60651,0.71322,0.57242,0.7188,1.32943,1.66166,4.5453e-05,4.5453e-05,4.5453e-05
29,834.934,0.72131,1.52846,1.81968,0.75362,0.60702,0.71363,0.5736,0.71882,1.33199,1.66267,3.1692e-05,3.1692e-05,3.1692e-05
30,864.177,0.71591,1.52235,1.76712,0.75515,0.60734,0.71414,0.57341,0.71871,1.32525,1.66268,1.7931e-05,1.7931e-05,1.7931e-05
1,31.0768,1.21748,2.79264,2.22961,0.6808,0.64682,0.68532,0.57572,0.8399,1.74123,1.79772,0.00010008,0.00010008,0.00010008
2,60.3576,1.09136,2.51209,2.04877,0.68336,0.63569,0.68122,0.56276,0.87149,1.72699,1.76824,0.000197587,0.000197587,0.000197587
3,92.9629,1.04635,2.27482,2.00904,0.6507,0.64252,0.6725,0.55219,0.87075,1.74307,1.74368,0.000288214,0.000288214,0.000288214
4,123.19,1.04961,2.37239,1.98535,0.62816,0.63747,0.66174,0.53937,0.80146,1.96452,1.69659,0.00037196,0.00037196,0.00037196
5,151.304,1.0617,2.45506,1.96291,0.62889,0.62415,0.65813,0.5306,0.75884,1.93658,1.67734,0.000361956,0.000361956,0.000361956
6,182.726,1.00604,2.27534,1.94286,0.7021,0.61498,0.69012,0.55557,0.75482,1.83334,1.68533,0.000348195,0.000348195,0.000348195
7,210.899,0.98884,2.05907,1.87988,0.71158,0.61932,0.68313,0.54665,0.75744,1.72348,1.67948,0.000334434,0.000334434,0.000334434
8,239.39,1.03718,2.06033,1.92224,0.71339,0.60859,0.67542,0.54309,0.7565,1.67654,1.66602,0.000320673,0.000320673,0.000320673
9,267.545,0.98444,2.17118,1.89145,0.67422,0.6301,0.67218,0.5399,0.76369,1.66759,1.6752,0.000306912,0.000306912,0.000306912
10,296.982,0.92297,1.937,1.90385,0.70489,0.62663,0.68019,0.54509,0.75936,1.65502,1.66297,0.000293151,0.000293151,0.000293151
11,326.745,0.92607,1.76931,1.87744,0.71134,0.62451,0.67834,0.54507,0.74596,1.62534,1.66294,0.00027939,0.00027939,0.00027939
12,355.165,0.97877,1.98346,1.87323,0.70708,0.62232,0.67849,0.54334,0.75509,1.60829,1.66054,0.000265629,0.000265629,0.000265629
13,382.979,0.87762,1.84299,1.84955,0.70416,0.6251,0.67997,0.54192,0.74975,1.60033,1.6624,0.000251868,0.000251868,0.000251868
14,411.652,0.96586,1.98784,1.8827,0.70983,0.62397,0.67971,0.53673,0.74888,1.59521,1.66179,0.000238107,0.000238107,0.000238107
15,440.47,0.85411,1.75209,1.82925,0.71862,0.61867,0.67563,0.53721,0.74375,1.57321,1.66043,0.000224346,0.000224346,0.000224346
1,29.8673,1.21748,2.79264,2.22961,0.6808,0.64682,0.68532,0.57572,0.8399,1.74123,1.79772,0.00010008,0.00010008,0.00010008
2,58.684,1.09136,2.51209,2.04877,0.68336,0.63569,0.68122,0.56276,0.87149,1.72699,1.76824,0.000197587,0.000197587,0.000197587
3,87.526,1.04635,2.27482,2.00904,0.6507,0.64252,0.6725,0.55219,0.87075,1.74307,1.74368,0.000288214,0.000288214,0.000288214
4,116.801,1.04961,2.37239,1.98535,0.62816,0.63747,0.66174,0.53937,0.80146,1.96452,1.69659,0.00037196,0.00037196,0.00037196
5,146.136,1.0617,2.45506,1.96291,0.62889,0.62415,0.65813,0.5306,0.75884,1.93658,1.67734,0.000361956,0.000361956,0.000361956
1,35.5229,1.21748,2.79264,2.22961,0.6808,0.64682,0.68532,0.57572,0.8399,1.74123,1.79772,0.00010008,0.00010008,0.00010008
2,64.8802,1.09136,2.51209,2.04877,0.68336,0.63569,0.68122,0.56276,0.87149,1.72699,1.76824,0.000197587,0.000197587,0.000197587
3,94.0878,1.04635,2.27482,2.00904,0.6507,0.64252,0.6725,0.55219,0.87075,1.74307,1.74368,0.000288214,0.000288214,0.000288214
4,122.217,1.04961,2.37239,1.98535,0.62816,0.63747,0.66174,0.53937,0.80146,1.96452,1.69659,0.00037196,0.00037196,0.00037196
5,151.922,1.0617,2.45506,1.96291,0.62889,0.62415,0.65813,0.5306,0.75884,1.93658,1.67734,0.000361956,0.000361956,0.000361956
6,179.953,1.00604,2.27534,1.94286,0.7021,0.61498,0.69012,0.55557,0.75482,1.83334,1.68533,0.000348195,0.000348195,0.000348195
7,208.561,0.98884,2.05907,1.87988,0.71158,0.61932,0.68313,0.54665,0.75744,1.72348,1.67948,0.000334434,0.000334434,0.000334434
8,237.596,1.03718,2.06033,1.92224,0.71339,0.60859,0.67542,0.54309,0.7565,1.67654,1.66602,0.000320673,0.000320673,0.000320673
9,267.008,0.98444,2.17118,1.89145,0.67422,0.6301,0.67218,0.5399,0.76369,1.66759,1.6752,0.000306912,0.000306912,0.000306912
10,295.872,0.92297,1.937,1.90385,0.70489,0.62663,0.68019,0.54509,0.75936,1.65502,1.66297,0.000293151,0.000293151,0.000293151
11,323.804,0.92607,1.76931,1.87744,0.71134,0.62451,0.67834,0.54507,0.74596,1.62534,1.66294,0.00027939,0.00027939,0.00027939
12,351.907,0.97877,1.98346,1.87323,0.70708,0.62232,0.67849,0.54334,0.75509,1.60829,1.66054,0.000265629,0.000265629,0.000265629
13,380.843,0.87762,1.84299,1.84955,0.70416,0.6251,0.67997,0.54192,0.74975,1.60033,1.6624,0.000251868,0.000251868,0.000251868
14,409.757,0.96586,1.98784,1.8827,0.70983,0.62397,0.67971,0.53673,0.74888,1.59521,1.66179,0.000238107,0.000238107,0.000238107
15,436.642,0.85411,1.75209,1.82925,0.71862,0.61867,0.67563,0.53721,0.74375,1.57321,1.66043,0.000224346,0.000224346,0.000224346
16,465.112,0.90997,1.88449,1.91476,0.70847,0.62438,0.67549,0.54061,0.73795,1.5586,1.65789,0.000210585,0.000210585,0.000210585
17,494.077,0.91235,1.76443,1.85268,0.70724,0.61872,0.67323,0.54188,0.73284,1.52602,1.66906,0.000196824,0.000196824,0.000196824
18,523.443,0.87189,1.73161,1.8448,0.69743,0.62227,0.67145,0.53937,0.73755,1.50876,1.66681,0.000183063,0.000183063,0.000183063
19,552.606,0.83016,1.66806,1.82729,0.69754,0.62302,0.67091,0.53698,0.73215,1.4795,1.66966,0.000169302,0.000169302,0.000169302
20,581.959,0.85131,1.64644,1.85735,0.75227,0.61864,0.69543,0.55879,0.72919,1.46143,1.66206,0.000155541,0.000155541,0.000155541
21,612.574,0.73431,1.62256,1.80288,0.75108,0.61307,0.69516,0.55796,0.73217,1.44136,1.66636,0.00014178,0.00014178,0.00014178
22,643.334,0.74678,1.60899,1.78514,0.74998,0.60698,0.69888,0.56286,0.72815,1.43956,1.66435,0.000128019,0.000128019,0.000128019
23,672.701,0.76042,1.60746,1.75757,0.74993,0.60991,0.70451,0.5647,0.72547,1.41862,1.6657,0.000114258,0.000114258,0.000114258
24,702.358,0.7266,1.61829,1.81442,0.75303,0.60753,0.7077,0.56616,0.7252,1.39164,1.66395,0.000100497,0.000100497,0.000100497
25,732.561,0.7236,1.56438,1.70655,0.75815,0.60446,0.71014,0.57037,0.72355,1.37099,1.66457,8.6736e-05,8.6736e-05,8.6736e-05
26,760.471,0.69251,1.60825,1.76977,0.75517,0.6058,0.71071,0.57224,0.71786,1.34493,1.6659,7.2975e-05,7.2975e-05,7.2975e-05
27,789.794,0.72652,1.54284,1.8208,0.74924,0.61328,0.71258,0.57228,0.71785,1.34052,1.66277,5.9214e-05,5.9214e-05,5.9214e-05
28,819.422,0.70541,1.50003,1.76534,0.75546,0.60651,0.71322,0.57242,0.7188,1.32943,1.66166,4.5453e-05,4.5453e-05,4.5453e-05
29,847.134,0.72131,1.52846,1.81968,0.75362,0.60702,0.71363,0.5736,0.71882,1.33199,1.66267,3.1692e-05,3.1692e-05,3.1692e-05
30,873.941,0.71591,1.52235,1.76712,0.75515,0.60734,0.71414,0.57341,0.71871,1.32525,1.66268,1.7931e-05,1.7931e-05,1.7931e-05
1,30.5542,1.21748,2.79264,2.22961,0.6808,0.64682,0.68532,0.57572,0.8399,1.74123,1.79772,0.00010008,0.00010008,0.00010008
2,59.2078,1.09141,2.50825,2.04773,0.68175,0.63768,0.68109,0.56254,0.87227,1.72676,1.76746,0.000202307,0.000202307,0.000202307
3,86.622,1.04702,2.27636,2.00878,0.6531,0.64203,0.67321,0.55233,0.87583,1.74574,1.74416,0.00030247,0.00030247,0.00030247
4,114.515,1.05309,2.37641,1.98761,0.62661,0.63681,0.6605,0.53541,0.81003,1.97821,1.70117,0.000400569,0.000400569,0.000400569
5,142.222,1.06544,2.45527,1.96358,0.63199,0.62194,0.65461,0.52695,0.76251,1.93571,1.67886,0.000400487,0.000400487,0.000400487
