epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,4096.38,0.72272,0.62314,1.77618,0.66184,0.63173,0.67044,0.55027,0.89574,1.8516,1.8673,0.000210585,0.000210585,0.000210585
27,4252.26,0.71849,0.61525,1.78675,0.66968,0.63341,0.67405,0.55232,0.89646,1.87069,1.86676,0.000202328,0.000202328,0.000202328
28,4409.82,0.71307,0.60921,1.77775,0.64877,0.64392,0.67587,0.55144,0.87541,1.89301,1.83515,0.000194072,0.000194072,0.000194072
29,4566.5,0.70914,0.60801,1.77866,0.66791,0.62596,0.67479,0.55932,0.87445,1.81849,1.84777,0.000185815,0.000185815,0.000185815
30,4721.96,0.70969,0.60443,1.77491,0.67851,0.63155,0.67534,0.55426,0.87004,1.80514,1.84883,0.000177559,0.000177559,0.000177559
31,4877.91,0.70608,0.60692,1.77255,0.67995,0.63356,0.68018,0.5636,0.87482,1.79538,1.86788,0.000169302,0.000169302,0.000169302
32,5036.6,0.69265,0.59092,1.76817,0.66941,0.63224,0.67508,0.55921,0.87323,1.81845,1.86464,0.000161045,0.000161045,0.000161045
33,5192.95,0.69023,0.59069,1.75777,0.67591,0.63609,0.67872,0.56046,0.87654,1.8,1.86093,0.000152789,0.000152789,0.000152789
34,5350.89,0.69423,0.58766,1.77306,0.66925,0.63449,0.68028,0.56202,0.87562,1.76839,1.86537,0.000144532,0.000144532,0.000144532
35,5505.78,0.68379,0.57875,1.75203,0.6747,0.64497,0.68391,0.56663,0.86896,1.82169,1.85229,0.000136276,0.000136276,0.000136276
36,5660.26,0.68702,0.57777,1.7425,0.66965,0.64153,0.68027,0.56427,0.86567,1.78565,1.85785,0.000128019,0.000128019,0.000128019
37,5816.38,0.67441,0.56693,1.75555,0.67233,0.64196,0.68495,0.56912,0.85681,1.74777,1.86174,0.000119762,0.000119762,0.000119762
38,5972.58,0.67372,0.56799,1.75254,0.67734,0.6362,0.68138,0.5686,0.84509,1.75927,1.84555,0.000111506,0.000111506,0.000111506
39,6127.85,0.67823,0.57245,1.7577,0.67199,0.63658,0.6799,0.56825,0.86159,1.76487,1.85461,0.000103249,0.000103249,0.000103249
40,6284.73,0.66854,0.56121,1.75172,0.67914,0.63051,0.68111,0.56938,0.83506,1.74558,1.84523,9.49926e-05,9.49926e-05,9.49926e-05
41,6439.39,0.57836,0.46846,1.70731,0.67444,0.64321,0.68403,0.57187,0.8409,1.72916,1.83732,8.6736e-05,8.6736e-05,8.6736e-05
42,6591.84,0.56796,0.45449,1.69724,0.67347,0.64385,0.68497,0.57341,0.83372,1.70953,1.837,7.84794e-05,7.84794e-05,7.84794e-05
43,6745.43,0.56514,0.44749,1.67754,0.67774,0.64097,0.68726,0.57601,0.8326,1.71783,1.8308,7.02228e-05,7.02228e-05,7.02228e-05
44,6898.24,0.55932,0.44274,1.68342,0.67568,0.64355,0.68466,0.57409,0.82913,1.70288,1.82798,6.19662e-05,6.19662e-05,6.19662e-05
45,7051.31,0.55468,0.43538,1.67148,0.67443,0.64186,0.68484,0.57472,0.83561,1.70357,1.82985,5.37096e-05,5.37096e-05,5.37096e-05
46,7206.3,0.5507,0.43522,1.67529,0.68111,0.63677,0.68418,0.57607,0.83211,1.70664,1.82552,4.5453e-05,4.5453e-05,4.5453e-05
47,7358.88,0.54377,0.42624,1.67473,0.67275,0.64861,0.68524,0.57549,0.82354,1.68549,1.8207,3.71964e-05,3.71964e-05,3.71964e-05
48,7511.67,0.5403,0.42534,1.66958,0.68353,0.64294,0.68645,0.57932,0.82063,1.6834,1.82054,2.89398e-05,2.89398e-05,2.89398e-05
